unique_id,feature_name,honorees,city,county,state,stabr,statename,lea_name,sch_name
2031,"Johnston High School (renamed ""Eastside Memorial High School at Johnston Campus""",Albert Sidney Johnston,Austin,Travis,TX,TX,TEXAS,AUSTIN ISD,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS
2033,"Fulmore Middle School (renamed ""Lively Middle School"")",Zachary Taylor Fulmore,Austin,Travis,TX,TX,TEXAS,AUSTIN ISD,FULMORE M S
563,"Robert E. Lee High School (renamed ""Liberty High School"")",Robert E. Lee,Baton Rouge,East Baton Rouge,LA,LA,"	
LOUISIANA",East Baton Rouge Parish,Robert E. Lee High School
597,"Robert E. Lee Elementary School (renamed ""Locust Street Expressive Arts Elemen"")",Robert E. Lee,Columbia,Boone,MO,MO,"	
MISSOURI",COLUMBIA 93,ROBERT E. LEE ELEM.
2038,"William L. Cabell Elementary School (renamed "" Chapel Hill Preparatory"")",William L. Cabell,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,WILLIAM L CABELL EL
891,"Lee School (renamed ""Council Oak Elementary School"")",Robert E. Lee,Tulsa,Tulsa,OK,OK,OKLAHOMA,TULSA,LEE ES
888,"Robert E. Lee Elementary School (renamed ""Adelaide Lee"")",Robert E. Lee,Oklahoma City,Oklahoma,OK,OK,OKLAHOMA,OKLAHOMA CITY,LEE ES
1256,"Robert E. Lee High School (renamed ""Margaret Long Wisdom High School"")",Robert E. Lee,Houston,Harris,TX,TX,TEXAS,HOUSTON ISD,LEE H S
1264,"Robert E. Lee High School (renamed ""L.E.E. High School"")",Robert E. Lee,San Antonio,Bexar,TX,TX,TEXAS,NORTH EAST ISD,LEE H S
1477,"Stonewall Jackson High School (renamed ""Unity Reed High School"")","Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,VA,VIRGINIA,PRINCE WILLIAM CO PBLC SCHS,STONEWALL JACKSON HIGH
1481,"J.E.B. Stuart Elementary School (renamed ""Pleasants Lane Elementary"")","James Ewell Brown ""Jeb"" Stuart",Petersburg,Petersburg City,VA,VA,VIRGINIA,PETERSBURG CITY PBLC SCHS,J.E.B. STUART ELEM
1482,"Robert E. Lee Elementary School (renamed ""Lakemont Elementary"")",Robert E. Lee,Petersburg,Petersburg City,VA,VA,VIRGINIA,PETERSBURG CITY PBLC SCHS,ROBERT E. LEE ELEM
1484,"J.E.B. Stuart Elementary School (renamed ""Barack Obama Elementary School"")","James Ewell Brown ""Jeb"" Stuart",Richmond,Richmond City,VA,VA,VIRGINIA,RICHMOND CITY PBLC SCHS,J.E.B. STUART ELEM
1485,"Stonewall Jackson Middle School (renamed ""John P. Fishwick Middle School"")","Thomas Jonathan ""Stonewall"" Jackson",Roanoke,Roanoke City,VA,VA,VIRGINIA,ROANOKE CITY PBLC SCHS,STONEWALL JACKSON MIDDLE
